state,participation_act_17,english_17,math_act_17,reading_17,science_17,composite_17,participation_act_18,composite_18,participation_act_19,composite_19,participation_sat_17,ebrw_17,math_sat_17,total_17,participation_sat_18,ebrw_18,math_18,total_18,participation_sat_19,ebrw_19,math_19,total_19,mandatory_17
National,0.6,20.3,20.7,21.4,21.0,21.0,,,0.52,20.7,,,,,,,,,,,,,
Alabama,1.0,18.9,18.4,19.7,19.4,19.2,1.0,19.1,1.0,18.9,0.05,593.0,572.0,1165.0,0.06,595.0,571.0,1166.0,0.07,583.0,560.0,1143.0,ACT
Alaska,0.65,18.7,19.8,20.4,19.9,19.8,0.33,20.8,0.38,20.1,0.38,547.0,533.0,1080.0,0.43,562.0,544.0,1106.0,0.41,556.0,541.0,1097.0,optional
Arizona,0.62,18.6,19.8,20.1,19.8,19.7,0.66,19.2,0.73,19.0,0.3,563.0,553.0,1116.0,0.29,577.0,572.0,1149.0,0.31,569.0,565.0,1134.0,optional
Arkansas,1.0,18.9,19.0,19.7,19.5,19.4,1.0,19.4,1.0,19.3,0.03,614.0,594.0,1208.0,0.05,592.0,576.0,1169.0,0.06,582.0,559.0,1141.0,ACT
California,0.31,22.5,22.7,23.1,22.2,22.8,0.27,22.7,0.23,22.6,0.53,531.0,524.0,1055.0,0.6,540.0,536.0,1076.0,0.63,534.0,531.0,1065.0,optional
Colorado,1.0,20.1,20.3,21.2,20.9,20.8,0.3,23.9,0.27,23.8,0.11,606.0,595.0,1201.0,1.0,519.0,506.0,1025.0,1.0,518.0,506.0,1024.0,SAT
Connecticut,0.31,25.5,24.6,25.6,24.6,25.2,0.26,25.6,0.22,25.5,1.0,530.0,512.0,1041.0,1.0,535.0,519.0,1053.0,1.0,529.0,516.0,1046.0,SAT
Delaware,0.18,24.1,23.4,24.8,23.6,24.1,0.17,23.8,0.13,24.1,1.0,503.0,492.0,996.0,1.0,505.0,492.0,998.0,1.0,499.0,486.0,985.0,SAT
District of Columbia,0.32,24.4,23.5,24.9,23.5,24.2,,,0.32,23.5,1.0,482.0,468.0,950.0,0.92,497.0,480.0,977.0,0.94,495.0,480.0,975.0,SAT
Florida,0.73,19.0,19.4,21.0,19.4,19.8,0.66,19.9,0.54,20.1,0.83,520.0,497.0,1017.0,0.56,550.0,549.0,1099.0,1.0,516.0,483.0,999.0,optional
Georgia,0.55,21.0,20.9,22.0,21.3,21.4,0.53,21.4,0.49,21.4,0.61,535.0,515.0,1050.0,0.7,542.0,522.0,1064.0,0.71,538.0,519.0,1058.0,optional
Hawaii,0.9,17.8,19.2,19.2,19.3,19.0,0.89,18.9,0.8,19.0,0.55,544.0,541.0,1085.0,0.56,480.0,530.0,1010.0,0.54,550.0,550.0,1100.0,ACT
Idaho,0.38,21.9,21.8,23.0,22.1,22.3,0.36,22.3,0.31,22.5,0.93,513.0,493.0,1005.0,1.0,508.0,493.0,1001.0,1.0,505.0,488.0,993.0,SAT
Illinois,0.93,21.0,21.2,21.6,21.3,21.4,0.43,23.9,0.35,24.3,0.09,559.0,556.0,1115.0,0.99,513.0,506.0,1019.0,1.0,509.0,504.0,1013.0,SAT
Indiana,0.35,22.0,22.4,23.2,22.3,22.6,0.32,22.5,0.29,22.5,0.63,542.0,532.0,1074.0,0.63,542.0,532.0,1074.0,0.66,543.0,537.0,1080.0,optional
Iowa,0.67,21.2,21.3,22.6,22.1,21.9,0.68,21.8,0.66,21.6,0.02,641.0,635.0,1275.0,0.03,634.0,631.0,1265.0,0.03,622.0,622.0,1244.0,optional
Kansas,0.73,21.1,21.3,22.3,21.7,21.7,0.71,21.6,0.72,21.2,0.04,632.0,628.0,1260.0,0.04,633.0,631.0,1265.0,0.04,618.0,623.0,1241.0,optional
Kentucky,1.0,19.6,19.4,20.5,20.1,20.0,1.0,20.2,1.0,19.8,0.04,631.0,616.0,1247.0,0.04,630.0,618.0,1248.0,0.04,620.0,612.0,1232.0,ACT
Louisiana,1.0,19.4,18.8,19.8,19.6,19.5,1.0,19.2,1.0,18.8,0.04,611.0,586.0,1198.0,0.04,615.0,595.0,1210.0,0.05,610.0,591.0,1200.0,ACT
Maine,0.08,24.2,24.0,24.8,23.7,24.3,0.07,24.0,0.06,24.3,0.95,513.0,499.0,1012.0,0.99,512.0,501.0,1013.0,0.99,512.0,502.0,1013.0,optional
Maine,0.08,24.2,24.0,24.8,23.7,24.3,0.07,24.0,0.06,24.3,0.95,513.0,499.0,1012.0,0.99,512.0,501.0,1013.0,0.99,512.0,502.0,1013.0,optional
